車號,序號,店家,地址,瓶數,下貨秒數,預計到店,預計離店
車01,1,鮮奶奶-埔里,南投縣埔里鎮中華路196號,20,400,08:59,09:06
車01,2,TEATOP第一味-W3/W5埔里南昌店,南投縣埔里鎮南昌街313號-隨貨附發票,20,400,09:10,09:17
車01,3,TEATOP第一味-W3/W5水里中央店,南投縣水里鄉中央村太平街1號-隨貨附發票,25,500,09:58,10:06
車01,4,TEATOP第一味-W3/W5南投竹山店(直),南投縣竹山鎮中正里下橫街47-2號,60,1200,10:43,11:03
車01,5,TEATOP第一味-W3/W5南投竹山二店(直),南投縣竹山鎮集山路三段443號1樓,20,400,11:08,11:14
車01,6,TEATOP第一味-W3/W5松柏嶺店,南投縣名間鄉松山村名松路二段177號1樓-隨貨附發票,15,300,11:39,11:44
車01,7,TEATOP第一味-W3/W5松柏嶺店,南投縣名間鄉松山村名松路二段177號1樓-隨貨附發票,25,500,11:44,11:52
車01,8,TEATOP第一味-W3/W5南投名間店,南投縣名間鄉南雅街149-2號-隨貨附發票,70,1400,12:04,12:27
車01,9,TEATOP第一味-W3/W5南投中興新村店,南投市光明南路67-1號-隨貨附發票,10,200,12:42,12:45
車01,10,TEATOP第一味-W3/W5南投中興新村店,南投市光明南路67-1號-隨貨附發票,10,200,12:45,12:49
車01,11,TEATOP第一味-W3/W5南投草屯中山店,南投縣草屯鎮中山街174號-隨貨附發票,20,400,13:03,13:10
車01,12,UG台中大里店(田加渴商行),台中市大里區中興路二段476號-隨貨發票,160,3200,13:36,14:29
車02,1,UG台中逢甲店(晶赫茶行),台中市西屯區西屯路二段272號-隨貨發票,112,2240,08:20,08:57
車03,1,蕃茄村企業,台中市潭子區雅潭路二段282號,70,1400,08:10,08:34
車04,1,六兵衛 漢神洲際店,台中市北屯區崇德路3段865號3樓,20,400,08:12,08:19
車05,1,新光三越(月結不秀金額),臺中市西屯區臺灣大道三段301號,16,320,08:17,08:22
車06,1,TEATOP第一味-W3/W5南投民族店,南投市民族路137號-隨貨附發票,20,400,08:44,08:51
車07,1,UG台中勤美店(綠祿飲料商行),台中市西區美村路一段135號-隨貨發票,144,2880,08:25,09:13
